Year,Month,Sales
2015,Jan,120
2015,Feb,135
2015,Mar,150
2015,Apr,145
2015,May,160
2015,Jun,170
2015,Jul,180
2015,Aug,175
2015,Sep,165
2015,Oct,190
2015,Nov,200
2015,Dec,220
2016,Jan,210
2016,Feb,225
2016,Mar,240
2016,Apr,235
2016,May,250
2016,Jun,260
2016,Jul,270
2016,Aug,265
2016,Sep,255
2016,Oct,280
2016,Nov,290
2016,Dec,310
2017,Jan,300
2017,Feb,320
2017,Mar,330
2017,Apr,340
2017,May,355
2017,Jun,360
2017,Jul,370
2017,Aug,365
2017,Sep,380
2017,Oct,400
2017,Nov,420
2017,Dec,450
2018,Jan,440
2018,Feb,460
2018,Mar,470
2018,Apr,480
2018,May,500
2018,Jun,510
2018,Jul,520
2018,Aug,530
2018,Sep,515
2018,Oct,540
2018,Nov,560
2018,Dec,600
2019,Jan,590
2019,Feb,610
2019,Mar,620
2019,Apr,630
2019,May,650
2019,Jun,660
2019,Jul,670
2019,Aug,680
2019,Sep,700
2019,Oct,720
2019,Nov,740
2019,Dec,780
2020,Jan,770
2020,Feb,800
2020,Mar,820
2020,Apr,780
2020,May,760
2020,Jun,850
2020,Jul,880
2020,Aug,900
2020,Sep,920
2020,Oct,950
2020,Nov,980
2020,Dec,1000
